age,aum,risk_tolerance,tenure_yrs,logins_per_mo,products_held,segment,persona
55,307817.12,5.1,14,4,3,0,Emerging Growth Seekers
48,30359.45,2.7,12,8,5,3,Established Loyal Clients
65,603494.83,4.3,6,1,1,1,Conservative Wealth Preservers
82,260214.5,1.0,8,4,3,1,Conservative Wealth Preservers
65,82006.8,2.3,7,5,2,1,Conservative Wealth Preservers
44,91993.99,6.0,16,5,4,0,Emerging Growth Seekers
88,66991.09,6.3,21,9,5,3,Established Loyal Clients
66,226624.17,7.2,4,6,5,1,Conservative Wealth Preservers
43,160524.32,4.1,23,8,2,3,Established Loyal Clients
70,159539.86,1.9,18,8,4,3,Established Loyal Clients
55,217547.72,8.1,1,9,6,1,Conservative Wealth Preservers
35,74512.16,6.7,6,2,7,0,Emerging Growth Seekers
59,1408611.33,5.8,3,4,5,2,High-Net-Worth Core
47,140730.04,2.8,12,4,1,1,Conservative Wealth Preservers
49,570189.37,8.6,22,5,2,0,Emerging Growth Seekers
84,640148.05,1.0,3,4,3,1,Conservative Wealth Preservers
54,201249.23,1.2,19,8,1,3,Established Loyal Clients
44,141792.04,8.0,23,6,7,0,Emerging Growth Seekers
40,354614.8,10.0,7,3,7,0,Emerging Growth Seekers
53,67381.03,2.2,1,1,4,1,Conservative Wealth Preservers
45,1406090.6,10.0,24,4,5,2,High-Net-Worth Core
38,325861.28,6.5,4,5,3,0,Emerging Growth Seekers
58,316964.85,5.8,5,7,7,1,Conservative Wealth Preservers
67,106434.03,4.1,6,2,6,1,Conservative Wealth Preservers
42,132224.77,4.2,19,7,2,3,Established Loyal Clients
53,232680.95,5.3,16,3,1,0,Emerging Growth Seekers
48,60629.25,3.6,17,8,1,3,Established Loyal Clients
64,291029.79,9.3,1,4,2,0,Emerging Growth Seekers
76,77246.71,1.0,19,8,1,3,Established Loyal Clients
78,76253.92,4.2,13,2,5,1,Conservative Wealth Preservers
55,93485.78,5.1,11,3,5,1,Conservative Wealth Preservers
65,244607.73,7.2,13,2,3,0,Emerging Growth Seekers
68,43836.03,4.0,7,5,1,1,Conservative Wealth Preservers
57,216942.71,6.9,4,8,2,1,Conservative Wealth Preservers
50,425040.47,9.5,21,5,3,0,Emerging Growth Seekers
40,219835.39,10.0,19,8,2,0,Emerging Growth Seekers
53,1790301.02,9.3,10,2,7,2,High-Net-Worth Core
43,370814.56,3.1,2,2,5,1,Conservative Wealth Preservers
45,48915.3,6.9,6,4,2,0,Emerging Growth Seekers
92,410069.17,5.0,3,2,6,1,Conservative Wealth Preservers
57,79228.69,6.0,19,10,7,3,Established Loyal Clients
57,181750.01,9.9,1,3,4,0,Emerging Growth Seekers
63,366619.81,4.4,16,8,7,3,Established Loyal Clients
54,254193.42,5.2,11,5,5,1,Conservative Wealth Preservers
47,315902.96,10.0,10,3,2,0,Emerging Growth Seekers
92,1721547.37,1.0,1,3,3,2,High-Net-Worth Core
38,405930.85,10.0,4,1,1,0,Emerging Growth Seekers
36,179937.16,8.7,23,6,6,0,Emerging Growth Seekers
57,116442.16,8.9,15,1,7,0,Emerging Growth Seekers
29,334652.55,10.0,13,4,6,0,Emerging Growth Seekers
39,849337.46,2.4,15,7,7,2,High-Net-Worth Core
47,1367190.47,5.7,7,4,4,2,High-Net-Worth Core
24,79677.03,3.7,3,2,2,0,Emerging Growth Seekers
62,374298.52,4.5,21,4,4,3,Established Loyal Clients
32,161288.79,9.0,5,4,5,0,Emerging Growth Seekers
60,378589.72,6.6,0,3,1,1,Conservative Wealth Preservers
81,59090.32,1.0,4,1,5,1,Conservative Wealth Preservers
51,159569.95,2.4,3,4,6,1,Conservative Wealth Preservers
58,198628.09,3.8,5,4,2,1,Conservative Wealth Preservers
54,121232.15,6.2,2,4,5,1,Conservative Wealth Preservers
52,353585.96,10.0,8,6,7,0,Emerging Growth Seekers
47,101614.12,10.0,0,4,1,0,Emerging Growth Seekers
56,153083.78,1.0,13,5,2,1,Conservative Wealth Preservers
49,269066.31,8.5,13,2,5,0,Emerging Growth Seekers
37,141845.83,6.6,17,3,5,0,Emerging Growth Seekers
66,1119837.94,8.2,14,6,7,2,High-Net-Worth Core
50,33380.82,10.0,2,3,7,0,Emerging Growth Seekers
43,261781.8,3.1,0,6,5,1,Conservative Wealth Preservers
79,225513.19,1.0,12,7,5,3,Established Loyal Clients
22,278623.35,10.0,12,3,4,0,Emerging Growth Seekers
40,476558.15,6.3,24,7,7,3,Established Loyal Clients
70,267424.05,8.9,1,2,5,1,Conservative Wealth Preservers
74,107316.69,2.5,18,5,7,3,Established Loyal Clients
48,243338.62,3.7,16,7,2,3,Established Loyal Clients
79,1368954.3,3.1,13,3,6,2,High-Net-Worth Core
51,131882.24,5.4,7,4,5,1,Conservative Wealth Preservers
50,187930.95,2.5,1,6,2,1,Conservative Wealth Preservers
70,2021351.82,6.8,4,3,3,2,High-Net-Worth Core
37,48737.35,5.6,23,5,5,0,Emerging Growth Seekers
62,256181.02,1.0,22,5,3,3,Established Loyal Clients
54,100984.12,4.1,8,1,5,1,Conservative Wealth Preservers
61,375109.94,4.6,0,2,5,1,Conservative Wealth Preservers
64,348504.68,2.3,14,5,1,1,Conservative Wealth Preservers
54,285895.6,10.0,6,6,6,0,Emerging Growth Seekers
41,231353.64,10.0,23,5,2,0,Emerging Growth Seekers
71,1064867.23,1.8,6,8,6,2,High-Net-Worth Core
69,87886.23,2.9,16,1,7,1,Conservative Wealth Preservers
58,167752.27,1.9,6,9,2,3,Established Loyal Clients
56,57776.78,4.0,23,8,6,3,Established Loyal Clients
49,193260.64,8.6,7,9,2,0,Emerging Growth Seekers
