amount,hour,txn_velocity_1h,acct_age_days,amount_to_avg_ratio,cross_border,is_fraud
142.94,14,0,3154,1.031,0,0
80.81,15,0,3768,1.934,0,0
70.31,9,0,2481,1.166,0,0
93.89,11,3,2968,0.297,0,0
105.86,18,0,571,1.3,0,0
79.34,17,3,2917,0.95,0,0
80.69,9,3,224,0.807,0,0
214.17,0,3,202,4.818,1,1
292.37,21,2,2427,0.531,0,0
110.6,17,2,2859,1.171,0,0
73.22,16,3,3413,0.578,0,0
13.03,18,4,2737,1.291,0,0
381.05,13,2,928,1.09,0,0
278.97,15,0,1736,1.478,0,0
258.26,16,2,2627,1.013,1,0
176.66,22,1,2899,0.378,0,0
66.47,15,2,2262,1.133,0,0
95.49,19,0,3343,0.979,1,0
95.11,13,2,1789,1.486,0,0
23.14,9,0,1653,0.827,0,0
43.33,17,2,270,1.417,0,0
217.63,12,0,3129,1.007,0,0
297.08,10,1,3350,1.007,0,0
119.97,10,0,2102,0.837,1,0
48.44,12,1,1575,0.83,0,0
49.33,9,1,1424,1.062,0,0
83.19,14,2,2188,1.332,0,0
377.73,22,1,203,1.214,1,0
72.72,14,2,2992,1.398,0,0
194.51,17,2,1646,0.582,1,0
489.8,12,1,2259,1.154,0,0
30.75,11,3,3228,1.151,0,0
41.75,8,4,2737,0.925,0,0
99.41,9,1,3823,1.055,0,0
80.59,8,2,2000,0.961,0,0
92.44,17,2,1036,1.137,0,0
125.72,23,7,263,3.792,1,1
242.31,8,2,1865,1.067,0,0
33.86,6,1,1213,0.487,0,0
719.71,10,1,207,1.454,0,0
71.95,11,3,2871,0.842,0,0
69.95,20,3,3795,1.119,0,0
20.77,16,3,1875,0.897,0,0
187.88,19,2,766,0.661,0,0
48.64,7,0,2314,0.516,0,0
86.17,10,0,3485,0.605,0,0
32.58,15,2,2259,1.357,0,0
203.9,12,2,3868,1.07,1,0
56.81,16,0,1425,1.214,0,0
128.61,15,0,232,1.01,0,0
107.49,14,2,180,0.579,0,0
394.94,10,2,2512,1.143,0,0
138.66,18,1,2187,0.918,0,0
145.77,22,1,3434,0.817,0,0
118.7,7,2,1025,0.749,0,0
37.25,15,2,548,0.984,0,0
78.05,6,1,612,1.268,0,0
112.11,21,0,691,1.421,0,0
18.03,11,2,2181,0.997,1,0
99.14,17,2,204,0.665,0,0
30.21,17,0,253,1.228,0,0
303.4,14,0,1890,0.967,0,0
142.87,22,2,956,1.039,0,0
67.38,7,1,1352,1.451,0,0
59.58,13,1,2708,0.904,0,0
40.95,20,3,2409,1.356,0,0
55.82,7,2,3858,0.988,0,0
273.13,6,2,1452,0.658,0,0
25.74,19,2,3640,1.36,0,0
43.26,16,2,1171,0.9,0,0
47.8,8,2,827,1.481,0,0
22.45,12,1,3411,0.774,0,0
189.06,6,0,2172,1.503,0,0
135.74,22,2,3541,0.552,0,0
65.0,12,2,3426,1.036,1,0
36.53,22,3,2583,0.937,0,0
133.25,11,3,3898,0.824,0,0
228.93,22,1,1061,1.204,0,0
90.18,22,1,2185,0.705,0,0
125.57,11,2,2023,0.501,0,0
48.09,19,1,512,1.117,1,0
175.07,15,1,414,0.816,0,0
21.04,15,2,3912,0.267,0,0
169.58,11,3,498,0.768,0,0
528.84,13,0,1656,0.597,0,0
12.31,7,2,1659,0.887,0,0
536.45,6,1,3442,1.155,0,0
48.78,15,1,2256,0.895,0,0
75.81,22,0,3611,0.763,0,0
189.46,18,0,2339,1.508,0,0
52.81,6,2,1996,1.117,0,0
41.9,19,2,1395,0.896,0,0
104.21,6,1,2492,0.667,1,0
263.5,17,2,3067,1.272,0,0
23.2,6,0,3322,0.884,0,0
22.4,11,0,1387,1.529,0,0
57.25,12,2,261,0.997,0,0
77.68,13,1,1358,0.77,0,0
55.63,19,3,1528,0.906,0,0
16.53,10,2,3966,1.202,0,0
208.61,7,0,2097,1.446,0,0
